sample,iou,accuracy,precision,recall,f1
1,0.0,0.99981689453125,0.0,0,0
2,0.5681511470985156,0.9853515625,0.769183922046285,0.6849240780911063,0.7246127366609295
3,0.4316125598722725,0.98370361328125,0.8045634920634921,0.4821640903686088,0.6029739776951673
4,0.5584507042253521,0.9904327392578125,0.7281910009182736,0.7055160142348754,0.7166741979213737
5,0.42857142857142855,0.98870849609375,0.6476079346557759,0.5589123867069486,0.6
6,0.5838827838827839,0.9913330078125,0.7219202898550725,0.7533081285444234,0.7372802960222017
7,0.3396017699115044,0.981781005859375,0.4908073541167066,0.5243381725021349,0.5070189925681255
8,0.47191629955947134,0.9853668212890625,0.6612654320987654,0.6223674655047204,0.6412270856715301
9,0.7744154057771664,0.9949951171875,0.8803752931978108,0.865488086087625,0.8728682170542635
10,0.5675990675990676,0.988677978515625,0.7651217596229379,0.6873676781933663,0.7241635687732343
