sample,iou,accuracy,precision,recall,f1
1,0.0006188118811881188,0.9753570556640625,0.012987012987012988,0.0006493506493506494,0.0012368583797155224
2,0.02664129400570885,0.968780517578125,0.07170294494238157,0.04066811909949165,0.05189990732159406
3,0.7177677998717127,0.9932861328125,0.8108695652173913,0.862095531587057,0.835698282300224
4,0.38934426229508196,0.9886322021484375,0.7078986587183308,0.4638671875,0.56047197640118
5,0.28247602441150826,0.9874420166015625,0.40550688360450565,0.48214285714285715,0.4405166553365058
6,0.072992700729927,0.9786834716796875,0.32934131736526945,0.08573655494933749,0.1360544217687075
7,0.5804077010192525,0.9886932373046875,0.7626488095238095,0.7083621285418107,0.7345037620924401
8,0.201171875,0.9812774658203125,0.5607985480943739,0.23879443585780524,0.33495934959349594
9,0.0,0.999359130859375,0.0,0,0
10,0.2345739471106758,0.9761505126953125,0.4005016722408027,0.36150943396226415,0.3800079333597779
